gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group E,bachelor's degree,standard,completed,100,100,100
female,group E,bachelor's degree,standard,completed,99,100,100
female,group C,bachelor's degree,standard,completed,96,100,100
male,group C,bachelor's degree,standard,completed,96,90,92
male,group C,bachelor's degree,standard,completed,94,90,91
female,group D,bachelor's degree,free/reduced,completed,93,100,100
female,group E,bachelor's degree,free/reduced,completed,92,100,100
female,group C,bachelor's degree,standard,completed,92,100,99
male,group C,bachelor's degree,standard,completed,91,81,79
male,group B,bachelor's degree,free/reduced,completed,87,90,88
male,group A,bachelor's degree,standard,completed,87,84,87
male,group E,bachelor's degree,standard,completed,85,66,71
male,group C,bachelor's degree,standard,completed,83,82,84
male,group A,bachelor's degree,standard,completed,80,78,81
male,group E,bachelor's degree,free/reduced,completed,79,74,72
female,group C,bachelor's degree,standard,completed,79,92,89
female,group E,bachelor's degree,standard,completed,79,81,82
female,group C,bachelor's degree,standard,completed,77,94,95
male,group E,bachelor's degree,standard,completed,76,62,66
male,group A,bachelor's degree,standard,completed,75,58,62
male,group D,bachelor's degree,free/reduced,completed,74,71,80
male,group D,bachelor's degree,free/reduced,completed,74,79,75
female,group C,bachelor's degree,free/reduced,completed,74,86,89
male,group C,bachelor's degree,standard,completed,71,74,68
female,group D,bachelor's degree,standard,completed,71,76,83
female,group E,bachelor's degree,standard,completed,71,70,70
male,group E,bachelor's degree,free/reduced,completed,70,68,72
male,group E,bachelor's degree,standard,completed,70,64,70
male,group C,bachelor's degree,free/reduced,completed,70,75,74
male,group D,bachelor's degree,standard,completed,68,74,74
female,group D,bachelor's degree,standard,completed,68,75,81
male,group D,bachelor's degree,standard,completed,67,61,68
female,group C,bachelor's degree,free/reduced,completed,66,83,83
female,group B,bachelor's degree,standard,completed,66,74,81
female,group C,bachelor's degree,free/reduced,completed,66,74,81
female,group B,bachelor's degree,standard,completed,65,81,81
male,group C,bachelor's degree,standard,completed,63,64,66
male,group D,bachelor's degree,free/reduced,completed,61,70,76
female,group C,bachelor's degree,standard,completed,59,64,75
female,group C,bachelor's degree,standard,completed,56,79,72
female,group C,bachelor's degree,standard,completed,52,61,66
female,group C,bachelor's degree,free/reduced,completed,51,72,79
male,group A,bachelor's degree,free/reduced,completed,49,58,60
female,group C,bachelor's degree,free/reduced,completed,47,62,66
female,group C,bachelor's degree,free/reduced,completed,43,51,54
male,group D,bachelor's degree,free/reduced,completed,39,42,38
male,group E,bachelor's degree,standard,completed,100,100,100
female,group E,bachelor's degree,standard,completed,99,100,100
female,group C,bachelor's degree,standard,completed,96,100,100
male,group C,bachelor's degree,standard,completed,96,90,92
male,group C,bachelor's degree,standard,completed,94,90,91
female,group D,bachelor's degree,free/reduced,completed,93,100,100
female,group E,bachelor's degree,free/reduced,completed,92,100,100
female,group C,bachelor's degree,standard,completed,92,100,99
male,group C,bachelor's degree,standard,completed,91,81,79
male,group B,bachelor's degree,free/reduced,completed,87,90,88
male,group A,bachelor's degree,standard,completed,87,84,87
male,group E,bachelor's degree,standard,completed,85,66,71
male,group C,bachelor's degree,standard,completed,83,82,84
male,group A,bachelor's degree,standard,completed,80,78,81
male,group E,bachelor's degree,free/reduced,completed,79,74,72
female,group C,bachelor's degree,standard,completed,79,92,89
female,group E,bachelor's degree,standard,completed,79,81,82
female,group C,bachelor's degree,standard,completed,77,94,95
male,group E,bachelor's degree,standard,completed,76,62,66
male,group A,bachelor's degree,standard,completed,75,58,62
male,group D,bachelor's degree,free/reduced,completed,74,71,80
male,group D,bachelor's degree,free/reduced,completed,74,79,75
female,group C,bachelor's degree,free/reduced,completed,74,86,89
male,group C,bachelor's degree,standard,completed,71,74,68
female,group D,bachelor's degree,standard,completed,71,76,83
female,group E,bachelor's degree,standard,completed,71,70,70
male,group E,bachelor's degree,free/reduced,completed,70,68,72
male,group E,bachelor's degree,standard,completed,70,64,70
male,group C,bachelor's degree,free/reduced,completed,70,75,74
male,group D,bachelor's degree,standard,completed,68,74,74
female,group D,bachelor's degree,standard,completed,68,75,81
male,group D,bachelor's degree,standard,completed,67,61,68
female,group C,bachelor's degree,free/reduced,completed,66,83,83
female,group B,bachelor's degree,standard,completed,66,74,81
female,group C,bachelor's degree,free/reduced,completed,66,74,81
female,group B,bachelor's degree,standard,completed,65,81,81
male,group C,bachelor's degree,standard,completed,63,64,66
male,group D,bachelor's degree,free/reduced,completed,61,70,76
female,group C,bachelor's degree,standard,completed,59,64,75
female,group C,bachelor's degree,standard,completed,56,79,72
female,group C,bachelor's degree,standard,completed,52,61,66
female,group C,bachelor's degree,free/reduced,completed,51,72,79
male,group A,bachelor's degree,free/reduced,completed,49,58,60
female,group C,bachelor's degree,free/reduced,completed,47,62,66
female,group C,bachelor's degree,free/reduced,completed,43,51,54
male,group D,bachelor's degree,free/reduced,completed,39,42,38
male,group E,bachelor's degree,standard,completed,100,100,100
female,group E,bachelor's degree,standard,completed,99,100,100
female,group C,bachelor's degree,standard,completed,96,100,100
male,group C,bachelor's degree,standard,completed,96,90,92
male,group C,bachelor's degree,standard,completed,94,90,91
female,group D,bachelor's degree,free/reduced,completed,93,100,100
female,group E,bachelor's degree,free/reduced,completed,92,100,100
female,group C,bachelor's degree,standard,completed,92,100,99
male,group C,bachelor's degree,standard,completed,91,81,79
male,group B,bachelor's degree,free/reduced,completed,87,90,88
male,group A,bachelor's degree,standard,completed,87,84,87
male,group E,bachelor's degree,standard,completed,85,66,71
male,group C,bachelor's degree,standard,completed,83,82,84
male,group A,bachelor's degree,standard,completed,80,78,81
male,group E,bachelor's degree,free/reduced,completed,79,74,72
female,group C,bachelor's degree,standard,completed,79,92,89
female,group E,bachelor's degree,standard,completed,79,81,82
female,group C,bachelor's degree,standard,completed,77,94,95
male,group E,bachelor's degree,standard,completed,76,62,66
male,group A,bachelor's degree,standard,completed,75,58,62
male,group D,bachelor's degree,free/reduced,completed,74,71,80
male,group D,bachelor's degree,free/reduced,completed,74,79,75
female,group C,bachelor's degree,free/reduced,completed,74,86,89
male,group C,bachelor's degree,standard,completed,71,74,68
female,group D,bachelor's degree,standard,completed,71,76,83
female,group E,bachelor's degree,standard,completed,71,70,70
male,group E,bachelor's degree,free/reduced,completed,70,68,72
male,group E,bachelor's degree,standard,completed,70,64,70
male,group C,bachelor's degree,free/reduced,completed,70,75,74
male,group D,bachelor's degree,standard,completed,68,74,74
female,group D,bachelor's degree,standard,completed,68,75,81
male,group D,bachelor's degree,standard,completed,67,61,68
female,group C,bachelor's degree,free/reduced,completed,66,83,83
female,group B,bachelor's degree,standard,completed,66,74,81
female,group C,bachelor's degree,free/reduced,completed,66,74,81
female,group B,bachelor's degree,standard,completed,65,81,81
male,group C,bachelor's degree,standard,completed,63,64,66
male,group D,bachelor's degree,free/reduced,completed,61,70,76
female,group C,bachelor's degree,standard,completed,59,64,75
female,group C,bachelor's degree,standard,completed,56,79,72
female,group C,bachelor's degree,standard,completed,52,61,66
female,group C,bachelor's degree,free/reduced,completed,51,72,79
male,group A,bachelor's degree,free/reduced,completed,49,58,60
female,group C,bachelor's degree,free/reduced,completed,47,62,66
female,group C,bachelor's degree,free/reduced,completed,43,51,54
male,group D,bachelor's degree,free/reduced,completed,39,42,38
